Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Journey Status,Reason for Delay,Refund Request,Original Price,Purchase Year,Purchase Month,Purchase Day,Purchase DayOfWeek,Purchase IsWeekend,Journey Year,Journey Month,Journey Day,Journey DayOfWeek,Journey IsWeekend,Purchase Hour_sin,Purchase Hour_cos,Purchase Minute_sin,Purchase Minute_cos,Purchase Second_sin,Purchase Second_cos,Departure Hour_sin,Departure Hour_cos,Departure Minute_sin,Departure Minute_cos,Departure Second_sin,Departure Second_cos,Arrival Hour_sin,Arrival Hour_cos,Arrival Minute_sin,Arrival Minute_cos,Arrival Second_sin,Arrival Second_cos,Actual Arrival Hour_sin,Actual Arrival Hour_cos,Actual Arrival Minute_sin,Actual Arrival Minute_cos,Actual Arrival Second_sin,Actual Arrival Second_cos
1,1,0,1,0,-0.7289581590446578,4,0,1,2,1,11.94,2024,3,10,6,1,2024,3,11,0,0,-1.1863178590191468,-0.11491275932365089,-0.5163441623161165,-1.4351996319573983,1.4148155165053697,-0.1461719117319329,-1.0239803334287252,-0.4684330755250704,0.02688803129924334,1.5611576059076777,0.0,0.0,-1.0991686456365484,-0.17253340143489082,1.244729876753015,-0.7036674888364745,0.0,0.0,-1.3103402374876068,-0.5814887665870095,-1.2018011857922133,0.4622168115103213,0.0,0.0
0,1,2,1,0,0.19523593588957847,5,31,2,0,0,70.0,2024,2,10,5,1,2024,2,28,2,0,-1.231479767504984,0.29912574445887524,-0.6547453545201826,1.215157319602011,-0.006208194811215087,-1.3998703619672104,-1.1534694200387883,-0.06029574169118465,1.4583556023732596,0.1478991416123067,0.0,0.0,-1.0991686456365486,0.6622932297543496,0.7664775649051655,1.4455700117735502,0.0,0.0,-1.310340237487607,0.11368748639758963,0.7836789221498079,0.7440681619170384,0.0,0.0
0,1,3,1,0,-0.5202691698659593,9,1,1,1,1,32.84,2024,1,15,0,0,2024,1,16,1,0,-0.8432791068993308,-0.8320484841647867,-0.516344162316117,1.2684757738618175,-0.5873742976027436,-1.2788303050550853,-0.5495449504359262,-1.0878378393861041,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.7578250169277796,-0.895514471800557,0.11317275750236673,-1.4903430128259167,0.0,0.0,-0.8984858704817383,-1.1835290617793515,-1.473955369770608,0.08660458682544299,0.0,0.0
1,0,2,0,0,0.7020520524664178,4,0,2,0,0,104.0,2024,4,24,2,0,2024,4,25,3,0,1.2417502287054223,-0.5007352233043773,0.8690148304032662,0.9729487912824706,-0.8460658033362735,-1.1324859858572527,1.3947274064311626,0.3776895671342047,0.02688803129924415,-1.2653593226830653,0.0,0.0,1.4486548847255512,-0.17253340143489082,-1.0183843617482828,0.8696835591424096,0.0,0.0,1.7637826084824284,-0.5814887665870095,-1.398059046405804,0.2201093997318628,0.0,0.0
0,1,2,1,2,-0.5500818826057734,4,0,0,6,1,13.33,2024,3,10,6,1,2024,3,10,6,1,0.09392019285703,1.8988476799853822,-1.2244985306752927,0.7521197186239298,-1.0680515014933218,0.9369838747050119,0.7466366208087993,1.8432169736545132,1.4583556023732596,0.1478991416123067,0.0,0.0,1.1073112560167828,1.3852743001200158,-0.5401320499004333,-1.2795539414676158,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,0,2,1,1,1.238680881783071,5,31,2,0,0,70.0,2024,4,16,1,0,2024,4,16,1,0,-0.8432791068993308,-0.8320484841647867,1.2683089597533126,-0.5226006248333697,-0.4477474693628102,-1.331347391495373,-1.1534694200387883,-0.06029574169118465,-1.404579539774773,0.14789914161230602,0.0,0.0,-1.0991686456365486,0.6622932297543496,-0.5401320499004333,-1.2795539414676158,0.0,0.0,-1.310340237487607,0.11368748639758963,-0.8134641196350093,-1.7353313218141118,0.0,0.0
0,0,2,0,1,2.2523131149367495,4,0,2,0,0,104.0,2024,1,17,2,0,2024,1,17,2,0,-0.5687797873239766,-1.086274090698291,-0.3731478375595097,1.3069832113583209,-0.44774746936281073,1.331692206427172,-1.0239803334287252,-0.4684330755250704,1.4583556023732596,0.1478991416123067,0.0,0.0,-1.0991686456365484,-0.17253340143489082,-0.5401320499004333,-1.2795539414676158,0.0,0.0,-1.3103402374876068,-0.5814887665870095,-0.8134641196350093,-1.7353313218141118,0.0,0.0
1,2,2,1,0,1.4175571582219555,3,13,1,4,1,152.0,2024,2,8,3,0,2024,2,9,4,0,-1.0539098429913618,-0.5007352233043784,0.35898277553925084,1.2684757738618175,1.4148155165053695,0.14651672666373225,-0.8179929434897428,-0.8189085495455056,0.02688803129924415,-1.2653593226830653,0.0,0.0,-1.0991686456365484,-0.17253340143489082,-1.1934368573032332,0.08300803515296697,0.0,0.0,-1.3103402374876068,-0.5814887665870095,-1.473955369770608,0.08660458682544299,0.0,0.0
0,1,2,1,0,-0.7587708717844719,3,18,0,6,1,6.0,2024,1,25,3,0,2024,1,26,4,0,-0.8432791068993308,-0.8320484841647867,1.2151817196601475,-0.6614999469719691,-1.4038354771099704,0.291257666875916,-0.23693064136260858,-1.2568938583708944,-1.404579539774773,0.14789914161230602,0.0,0.0,-0.4846821336735501,-1.1518122614088913,1.4197823723079652,0.0830080351529677,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,0,2,1,0,0.19523593588957847,5,31,2,0,0,70.0,2024,4,2,1,0,2024,4,3,2,0,-1.053909842991362,1.098986712222129,0.49738396774331656,-1.3818811776975912,-1.0680515014933218,-0.9366390597732128,-1.1976357360582894,0.37768956713420426,-1.404579539774773,0.14789914161230602,0.0,0.0,-0.9674149228231368,1.051260517699317,-0.5401320499004333,-1.2795539414676158,0.0,0.0,-1.1513703855666815,0.43758805648597854,-0.8134641196350093,-1.7353313218141118,0.0,0.0
